code,semester,title,credits,recordTime,sectionId,quota,enrol,wait
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 06:30:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 05:30:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 05:30:00,T1,25,20,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 05:30:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 05:00:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 05:00:00,T1,25,20,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 05:00:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 07:30:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 07:30:00,T1,25,20,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 07:30:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 06:00:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 06:00:00,T1,25,20,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 06:00:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 09:30:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 09:30:00,T1,25,20,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 09:30:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 10:00:00,L1,50,45,9
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 10:00:00,T1,25,20,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 10:00:00,T2,25,25,5
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 16:30:00,L1,50,47,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 16:30:00,T1,25,22,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 16:30:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 15:00:00,L1,50,47,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 15:00:00,T1,25,22,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 15:00:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 12:00:00,L1,50,48,9
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 12:00:00,T1,25,23,5
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 12:00:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 11:30:00,L1,50,48,9
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 11:30:00,T1,25,23,5
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 11:30:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 14:00:00,L1,50,47,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 14:00:00,T1,25,22,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 14:00:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 13:00:00,L1,50,48,9
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 13:00:00,T1,25,23,5
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 13:00:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 12:30:00,L1,50,48,9
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 12:30:00,T1,25,23,5
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 12:30:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 14:30:00,L1,50,47,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 14:30:00,T1,25,22,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 14:30:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 13:30:00,L1,50,47,8
